hf_A,hf_B,hf_Z,matched_column,matched_master_label,matched_master_depth,matched_master_path,score
derrida,"Jacques Derrida (1930â€“2004) founded deconstruction, a method of reading texts that reveals how binary oppositions and assumed hierarchies are unstable. His work challenges logocentrism and presence metaphysics. Influential in literary theory and continental philosophy, Derrida analyzed writing, diffÃ©rance, and the impossibility of pure meaning.",https://plato.stanford.edu/entries/derrida/,A,Derrida,4,History of Western Philosophy > 20th Century Philosophy > 20th Century Continental Philosophy > Derrida,1.000
descartes,"RenÃ© Descartes (1596â€“1650) is the father of modern philosophy, famous for methodological skepticism and 'cogito ergo sum.' He developed mind-body dualism, rationalist epistemology, and mechanistic physics. His Meditations revolutionized metaphysics, while his analytic geometry transformed mathematics.",https://plato.stanford.edu/entries/descartes/,A,Descartes,4,History of Western Philosophy > 17th/18th Century Philosophy > 17th/18th Century French Philosophy > Descartes,1.000
descriptions,"Phrases like 'the present king of France' picking out objects uniquely satisfying a description. Russell's theory analyzes them as quantified statements, not referring expressions. Debates concern whether descriptions are quantifiers or referential, ambiguity between attributive and referential uses, and presupposition versus assertion.",https://plato.stanford.edu/entries/descriptions/,A,Descriptions,3,Philosophy of Language > Specific Expressions > Descriptions,1.000
desert,"What people deserve based on their actions, character, or circumstances. Desert grounds retributive justice, reward, and blame. Philosophical questions concern desert's basis (actions, effort, character), its relationship to justice and fairness, and whether people truly deserve anything given determinism or moral luck.",https://plato.stanford.edu/entries/desert/,A,Desert,4,Value Theory > Normative Ethics > Moral Phenomena > Desert,1.000
desire,"Mental states directed toward obtaining or achieving something. Philosophical questions concern desire's nature (pro-attitude, disposition, or sui generis), relationship to belief and intention, and role in motivation and practical reason. Theories address whether all motivation involves desire and desire's connection to value.",https://plato.stanford.edu/entries/desire/,A,Desire,3,Philosophy of Mind > Mental States and Processes > Desire,1.000
dialetheism,The view that some contradictions are trueâ€”that some sentences are both true and false (dialetheias). Graham Priest developed dialetheism addressing paradoxes like the liar. It requires paraconsistent logic where contradictions don't entail everything. Critics question whether genuine contradictions are coherent or merely apparent.,https://plato.stanford.edu/entries/dialetheism/,A,Dialetheism,3,"Science, Logic, and Mathematics > Logic and Philosophy of Logic > Dialetheism",1.000
disability,"Philosophical examination of impairment, disability, and society's responses. Questions concern disability's nature (medical versus social model), disabled people's moral status and rights, justice for disabled people, and disability's effects on well-being. The field addresses ableism, accommodation, and identity.",https://plato.stanford.edu/entries/disability/,A,Disability,5,Value Theory > Applied Ethics > Biomedical Ethics > Health Care Ethics > Disability,1.000
disagreement,"When individuals hold incompatible beliefs about the same question. Philosophical questions concern whether discovering peer disagreement should lead to revising beliefs, what epistemic significance disagreement has, and whether some disagreements are faultless. Debates address disagreement's implications for knowledge, rationality, and truth.",https://plato.stanford.edu/entries/disagreement/,A,Disagreement,3,Epistemology > Social Epistemology > Disagreement,1.000
discrimination,"Differential treatment based on protected characteristics like race, sex, or disability. While widely condemned as unjust, debates concern what makes discrimination wrongful, whether all differential treatment constitutes discrimination, and when discrimination might be permissible (affirmative action). Accounts emphasize disrespect, harm, or wrongful classification.",https://plato.stanford.edu/entries/discrimination/,A,Discrimination,4,Value Theory > Social and Political Philosophy > Equality > Discrimination,1.000
disjunction,"The logical connective 'or' and its natural language counterparts. Classical logic treats disjunction truth-functionally: 'A or B' is true if at least one disjunct is true. Debates concern exclusive versus inclusive disjunction, free choice inferences, and whether disjunction in natural language follows classical logic.",https://plato.stanford.edu/entries/disjunction/,A,Disjunction,4,Philosophy of Language > Specific Expressions > Connectives > Disjunction,1.000
sophists,"Fifth-century BCE Greek intellectuals who taught rhetoric, philosophy, and practical skills for fees. Major sophists included Protagoras, Gorgias, and Prodicus. Though criticized by Plato and Aristotle, they contributed to epistemology, ethics, and political theory, with Protagoras's relativism and Gorgias's rhetoric particularly influential.",https://plato.stanford.edu/entries/sophists/,A,Sophists,4,History of Western Philosophy > Ancient Greek Philosophy > Pre-Socratic Philosophy > Sophists,1.000
international-justice,"Principles of justice applying to relationships between states and global institutions. Questions concern duties to distant strangers, global distributive justice, responsibilities for global poverty, and whether justice requires global equality or merely sufficiency. Cosmopolitans defend global egalitarianism; statists limit strong duties to compatriots.",https://plato.stanford.edu/entries/international-justice/,A,International Justice,4,Value Theory > Social and Political Philosophy > International Philosophy > International Justice,1.000
religious-pluralism,"The fact of diverse, incompatible religious beliefs among apparently equally informed and sincere believers. Philosophical responses include exclusivism (only one religion is true), inclusivism (one religion is truest but others contain partial truth), and pluralism (multiple religions are equally valid paths). Debates concern rationality of religious belief given diversity.",https://plato.stanford.edu/entries/religious-pluralism/,A,Religious Pluralism,4,Philosophy of Religion > Religious Topics > Religious Diversity > Religious Pluralism,1.000
free-will-foreknowledge,"The problem whether divine foreknowledge is compatible with human free will. If God infallibly knows future actions, they seem necessary, threatening freedom. Solutions include Ockhamism (denying the past fixity of foreknowledge), Molinism (middle knowledge), and open theism (denying exhaustive foreknowledge). The problem parallels determinism debates.",https://plato.stanford.edu/entries/free-will-foreknowledge/,A,Free Will and Foreknowledge,4,Philosophy of Action > Free Will > Topics in Free Will > Free Will and Foreknowledge,1.000
divine-freedom,"Whether and how God can be free given divine attributes like omniscience, perfect goodness, and necessity. If God is essentially good, can God choose evil? If omniscient, can God do otherwise than what God knows God will do? Debates concern compatibility of freedom with necessity and whether divine freedom differs from human freedom.",https://plato.stanford.edu/entries/divine-freedom/,A,Divine Freedom,3,Philosophy of Religion > Divine Attributes > Divine Freedom,1.000
divine-hiddenness,"The phenomenon that God's existence is not obvious to everyone, with many reasonable people lacking belief. This raises the evidential argument from hiddenness: a loving God would ensure reasonable non-resistant seekers have evidence, but many don't. Responses appeal to soul-making, creaturely autonomy, or denying God would ensure belief.",https://plato.stanford.edu/entries/divine-hiddenness/,A,Divine Hiddenness,3,Philosophy of Religion > Divine Attributes > Divine Hiddenness,1.000
divine-simplicity,The classical theistic doctrine that God has no parts or complexity. God is identical to God's attributes; God's essence and existence are identical. Simplicity explains divine perfection and necessity but faces challenges: how can the simple God have multiple attributes or know many truths? Medieval theologians developed sophisticated defenses.,https://plato.stanford.edu/entries/divine-simplicity/,A,Divine Simplicity,3,Philosophy of Religion > Divine Attributes > Divine Simplicity,1.000
doing-allowing,"Whether there's a moral difference between actively causing harm and merely allowing harm to occur. The distinction affects euthanasia, abortion, and duties to aid. Deontologists often hold doing harm is worse than allowing it, while consequentialists question the distinction's moral significance. Challenges involve precisely formulating the distinction.",https://plato.stanford.edu/entries/doing-allowing/,A,Doing and Allowing,4,Value Theory > Meta-Ethics > Moral Responsibility > Doing and Allowing,1.000
organ-donation,"Ethical issues in procuring and allocating organs for transplantation. Questions concern consent requirements, presumed consent versus opt-in systems, financial incentives, allocation criteria, and defining death. Debates address respecting donors' autonomy while addressing organ shortages and ensuring fair allocation.",https://plato.stanford.edu/entries/organ-donation/,A,Organ Donation,5,Value Theory > Applied Ethics > Biomedical Ethics > Medical Ethics > Organ Donation,1.000
dualism,"In philosophy of mind, the view that mental and physical are fundamentally distinct. Substance dualism (Descartes) posits immaterial minds and material bodies; property dualism holds mental properties are irreducible to physical ones. Dualism faces the interaction problem: how can immaterial mind affect physical body? Alternatives include physicalism and idealism.",https://plato.stanford.edu/entries/dualism/,A,Dualism,3,Philosophy of Mind > Metaphysics of Mind > Dualism,1.000
dynamic-semantics,"Semantic frameworks treating meaning as context-change potential rather than truth conditions. Utterances update contexts with new information. Dynamic semantics addresses anaphora, presupposition, and temporal reference better than static approaches. The perspective emphasizes language's incremental, context-dependent nature and information flow in discourse.",https://plato.stanford.edu/entries/dynamic-semantics/,A,Dynamic Semantics,4,Philosophy of Language > Meaning > Semantic Theories > Dynamic Semantics,1.000
egalitarianism,"The view that people should be equal in some respect or treated as equals. Forms include equality of resources, welfare, opportunity, or capabilities. Debates concern what equality requires, whether equality has intrinsic value or instrumental value, and egalitarianism's relationship to liberty. Critics raise leveling-down objection and prioritarian alternatives.",https://plato.stanford.edu/entries/egalitarianism/,A,Egalitarianism,4,Value Theory > Social and Political Philosophy > Equality > Egalitarianism,1.000
envy,"The painful emotion arising from another's advantages or possessions one desires for oneself. Traditionally considered vicious, envy involves resenting others' good fortune. Philosophical questions concern whether envy is always irrational, whether it differs from jealousy, and if it can motivate positive action. Some defend certain envious reactions.",https://plato.stanford.edu/entries/envy/,A,Envy,5,Value Theory > Normative Ethics > Moral Psychology > Moral States and Processes > Envy,1.000
epiphenomenalism,The view that mental events are caused by physical brain events but have no causal effects themselves. Mental states are like steam-whistle accompaniments to physical processes. This addresses mind-body interaction while preserving physicalism but faces challenges explaining mental causation's appearance and evolutionary function of consciousness.,https://plato.stanford.edu/entries/epiphenomenalism/,A,Epiphenomenalism,4,Philosophy of Mind > Metaphysics of Mind > Dualism > Epiphenomenalism,1.000
epistemic-paradoxes,"Puzzles about knowledge including the surprise examination paradox, the knowability paradox, and Fitch's paradox. These reveal tensions between plausible epistemic principles. The knowability paradox suggests that if all truths are knowable, then all truths are known. Such paradoxes illuminate knowledge's logic and limits.",https://plato.stanford.edu/entries/epistemic-paradoxes/,A,Epistemic Paradoxes,3,Epistemology > Epistemology Miscellaneous > Epistemic Paradoxes,1.000
epistemology,"The study of knowledge and justified belief. Core questions concern knowledge's nature (justified true belief plus conditions to avoid Gettier cases), justification's structure (foundationalism, coherentism, infinitism), skepticism, and sources of knowledge (perception, reason, testimony). Contemporary epistemology addresses social epistemology and formal methods.",https://plato.stanford.edu/entries/epistemology/,A,Epistemology,1,Epistemology,1.000
moral-epistemology,"How moral knowledge is possible and acquired. Questions concern whether moral truths are knowable, what justifies moral beliefs, whether moral knowledge requires perception or intuition, and moral testimony's reliability. Debates address moral realism versus anti-realism, a priori versus empirical moral knowledge, and foundationalism versus coherentism.",https://plato.stanford.edu/entries/moral-epistemology/,A,Moral Epistemology,3,Value Theory > Meta-Ethics > Moral Epistemology,1.000
reliabilism,The epistemological theory that justification or knowledge requires beliefs be formed by reliable processesâ€”those tending to produce true beliefs. Process reliabilism addresses the Gettier problem and regress of justification. Challenges include the generality problem (individuating processes) and whether reliability suffices for justification without awareness.,https://plato.stanford.edu/entries/reliabilism/,A,Reliabilism,3,Epistemology > Epistemological Theories > Reliabilism,1.000
formal-epistemology,"Epistemology using formal methods from logic, probability theory, and decision theory. Topics include Bayesian confirmation, belief revision, epistemic logic, formal learning theory, and decision theory. Formal epistemology addresses precision in epistemological theorizing and connections between traditional and formal approaches.",https://plato.stanford.edu/entries/formal-epistemology/,A,Formal Epistemology Misc,3,Epistemology > Formal Epistemology > Formal Epistemology Misc,1.000
equality,"The principle that people should be treated equally or as equals in some respect. Debates concern what equality requires (outcome, opportunity, resources, welfare, capabilities), equality's value (intrinsic or instrumental), and tensions with liberty. Egalitarian theories face challenges from leveling-down objection and prioritarian alternatives.",https://plato.stanford.edu/entries/equality/,A,Equality,3,Value Theory > Social and Political Philosophy > Equality,1.000
erasmus,"Desiderius Erasmus (c. 1467â€“1536) was a Renaissance humanist whose writings addressed nature versus nurture, language and meaning, ideal government, faith, and knowledge. Though not systematic, his Christian humanism, emphasis on education, and moderate reform influenced European thought. His debate with Luther addressed free will.",https://plato.stanford.edu/entries/erasmus/,A,Erasmus,4,History of Western Philosophy > Medieval and Renaissance Philosophy > 15th/16th Century > Erasmus,1.000
eugenics,"Policies and practices aimed at improving the genetic composition of populations. Historical eugenics movements in the early 20th century led to forced sterilizations and Nazi atrocities. Contemporary debates address genetic screening, selection, and enhancement, raising questions about coercion, discrimination, disability rights, and human dignity versus reproductive autonomy.",https://plato.stanford.edu/entries/eugenics/,A,Eugenics,5,Value Theory > Applied Ethics > Biomedical Ethics > Genetic Ethics > Eugenics,1.000
events,"Occurrences or happenings like walks, explosions, or births. Metaphysical questions concern whether events are particulars (Davidson) or property exemplifications (Kim), their individuation criteria, and relationship to objects, times, and causes. Event ontology affects action theory, causation, and philosophy of mind.",https://plato.stanford.edu/entries/events/,A,Events,3,Metaphysics > Ontology > Events,1.000
evidence,"What justifies beliefs or supports hypotheses. Epistemological debates concern evidence's nature (mental states, propositions, or facts), whether evidence must be possessed or can be merely available, and relationships between evidence and justification. Bayesian approaches treat evidence as affecting probabilities; others emphasize evidential support relations.",https://plato.stanford.edu/entries/evidence/,A,Evidence,3,Epistemology > Epistemological States and Properties > Evidence,1.000
evil,"The evidential problem of evil for theism: whether evil's existence makes God's existence improbable. Arguments cite gratuitous suffering apparently serving no greater good. Responses include skeptical theism, soul-making theodicies, and free will defense. Debates distinguish logical from evidential versions and natural from moral evil.",https://plato.stanford.edu/entries/evil/,A,Evil,3,Philosophy of Religion > Religious Topics > Evil,1.000
experimental-philosophy,"Movement using empirical methods to investigate philosophical questions, particularly about folk concepts and intuitions. X-Phi examines intuitions about knowledge, intentional action, and free will across demographics. The negative program challenges armchair philosophy; the positive program uses experiments to inform philosophical theories. Critics question experimental design and relevance.",https://plato.stanford.edu/entries/experimental-philosophy/,A,Experimental Philosophy: Persons,4,Metaphilosophy > Experimental Philosophy > Experimental Philosophy: Metaphysics > Experimental Philosophy: Persons,1.000
exploitation,"Taking unfair advantage of others' vulnerability. Questions concern what makes advantage-taking exploitative versus mutually beneficial, whether exploitation requires harm or merely unfairness, and whether consensual exploitation is possible. Applications include labor exploitation, pricing during emergencies, and international trade. Accounts emphasize wrongful use, unfair benefit, or degradation.",https://plato.stanford.edu/entries/exploitation/,A,Exploitation,4,Value Theory > Social and Political Philosophy > Social and Political Philosophy Miscellaneous > Exploitation,1.000
faith,"Belief, trust, or commitment, especially in religious contexts. Questions concern faith's relationship to evidence (whether faith requires, permits, or excludes evidential support), reason, and knowledge. Debates address faith as propositional belief versus fiduciary trust, faith's rationality, and whether faith is a virtue or vice epistemologically.",https://plato.stanford.edu/entries/faith/,A,Faith,3,Philosophy of Religion > Epistemology of Religion > Faith,1.000
fallacies,"Errors in reasoning or argumentation. The argument conception treats fallacies as deceptively bad arguments appearing valid; the belief conception treats them as false but popular beliefs. Common fallacies include ad hominem, straw man, appeal to authority, and hasty generalization, raising questions about argumentation norms and critical thinking.",https://plato.stanford.edu/entries/fallacies/,A,Fallacies,4,Epistemology > Epistemological Sources > Reasoning > Fallacies,1.000
fatalism,"The view that we are powerless to do anything other than what actually occurs. Arguments for fatalism appeal to logical necessity, divine foreknowledge, or causal determinism. Logical fatalism derives from truths about the future; theological fatalism from God's omniscience; causal fatalism from determinism. Each raises distinct challenges.",https://plato.stanford.edu/entries/fatalism/,A,Fatalism,4,Philosophy of Action > Free Will > Topics in Free Will > Fatalism,1.000
forgiveness,"Forswearing resentment and punitive responses toward wrongdoers. Philosophical questions concern what forgiveness requires (emotional change, forbearance, or both), whether it's always permissible or obligatory, and its relationship to repentance and apology. Debates address conditional versus unconditional forgiveness and third-party forgiveness's possibility.",https://plato.stanford.edu/entries/forgiveness/,A,Forgiveness,5,Value Theory > Normative Ethics > Moral Psychology > Moral States and Processes > Forgiveness,1.000
foucault,"Michel Foucault (1926â€“1984) was a French philosopher and historian examining power, knowledge, and subjectivity. His archaeological and genealogical methods analyzed discourse, disciplinary power, and biopower. Major works addressed madness, clinical medicine, human sciences, prisons, and sexuality. Foucault profoundly influenced poststructuralism and critical theory.",https://plato.stanford.edu/entries/foucault/,A,Foucault,4,History of Western Philosophy > 20th Century Philosophy > 20th Century Continental Philosophy > Foucault,1.000
freedom-association,"The right to form and join voluntary associations including clubs, unions, religious groups, and political parties. Questions concern association's value (expressive, instrumental, or intrinsic), limits on associational freedom (anti-discrimination laws), and tensions between association rights and equality. Debates address forced association and intimate association.",https://plato.stanford.edu/entries/freedom-association/,A,Freedom of Association,5,Value Theory > Social and Political Philosophy > Freedom and Liberty > Specific Freedoms > Freedom of Association,1.000
freedom-speech,"The principle protecting expression from government restriction. Justifications include truth discovery (marketplace of ideas), democratic self-governance, and individual autonomy. Questions concern scope (commercial speech, hate speech, pornography), bases for restrictions (harm, offense, dignity), and balancing free speech with equality.",https://plato.stanford.edu/entries/freedom-speech/,A,Freedom of Speech,5,Value Theory > Social and Political Philosophy > Freedom and Liberty > Specific Freedoms > Freedom of Speech,1.000
frege,"Gottlob Frege (1848â€“1925) revolutionized logic by developing the first predicate calculus with quantification theory. He attempted logicist reduction of arithmetic to logic in Grundgesetze but Russell's paradox revealed inconsistency. Frege's philosophy of language distinguished sense from reference, profoundly influencing analytic philosophy.",https://plato.stanford.edu/entries/frege/,A,Frege,4,History of Western Philosophy > 19th Century Philosophy > 19th Century German Philosophy > Frege,1.000
friendship,"A personal relationship grounded in mutual concern for each other's welfare for their own sake, involving intimacy. Aristotle distinguished friendships of utility, pleasure, and virtue. Questions concern friendship's nature, whether reasons-based or non-voluntary, duties to friends versus strangers, and friendship's role in good life.",https://plato.stanford.edu/entries/friendship/,A,Friendship,4,Value Theory > Applied Ethics > Social Ethics > Friendship,1.000
functionalism,"The theory that mental states are defined by functional rolesâ€”causal relations to inputs, outputs, and other mental statesâ€”rather than internal constitution. Multiple realizability supports functionalism: minds could be silicon-based. Challenges include qualia (inverted spectrum), intentionality, and whether functionalism captures consciousness's qualitative character.",https://plato.stanford.edu/entries/functionalism/,A,Functionalism,3,Philosophy of Mind > Metaphysics of Mind > Functionalism,1.000
fundamentality,"The metaphysical notion of what is basic or primitive in reality's structure. Ontological fundamentality concerns what exists independently; ideological fundamentality concerns primitive concepts. Debates address whether there are fundamental entities, unique fundamental level, and relationships between fundamentality and grounding or essence.",https://plato.stanford.edu/entries/fundamentality/,A,Fundamentality,3,Metaphysics > Interlevel Metaphysics > Fundamentality,1.000
gadamer,"Hans-Georg Gadamer (1900â€“2002) developed philosophical hermeneutics in Truth and Method. Understanding is dialogical fusion of horizons between interpreter and text. Tradition and prejudice enable rather than obstruct understanding. Gadamer emphasized humanities' distinctive method, critiquing scientism and defending practical philosophy against technical rationality.",https://plato.stanford.edu/entries/gadamer/,A,Gadamer,4,History of Western Philosophy > 20th Century Philosophy > 20th Century Continental Philosophy > Gadamer,1.000
game-theory,"Mathematical analysis of strategic interaction among rational agents. Game theory models decision-making when outcomes depend on others' choices. Key concepts include Nash equilibrium, dominant strategies, and backward induction. Applications span economics, political science, biology, and philosophy addressing cooperation, conflict, and rationality.",https://plato.stanford.edu/entries/game-theory/,A,Game Theory,3,Philosophy of Action > Decision Theory > Game Theory,1.000
globalization,"Increasing global economic, political, and cultural integration. Philosophical questions concern globalization's justice (exploitation, inequality), sovereignty and democracy's fate, cultural homogenization versus pluralism, and global governance. Debates address whether globalization benefits humanity or primarily serves dominant powers.",https://plato.stanford.edu/entries/globalization/,A,Globalization,4,Value Theory > Social and Political Philosophy > International Philosophy > Globalization,1.000
goodman,"Nelson Goodman (1906â€“1998) contributed to induction, nominalism, and aesthetics. His new riddle of induction (grue paradox) showed projectibility depends on entrenchment, challenging naÃ¯ve inductivism. Goodman developed nominalist philosophy rejecting abstract objects and analyzed art as symbol systems. His constructivalism emphasized worldmaking through concepts.",https://plato.stanford.edu/entries/goodman/,A,Goodman,4,History of Western Philosophy > 20th Century Philosophy > 20th Century Analytic Philosophy > Goodman,1.000
gratitude,"A positive response to benefits received from benefactors. Questions concern gratitude's nature (emotion, virtue, or duty), when it's appropriate, whether it requires intentional beneficence, and duties it generates. Debates address whether gratitude to non-persons (nature, God) makes sense and gratitude's political implications.",https://plato.stanford.edu/entries/gratitude/,A,Gratitude,5,Value Theory > Normative Ethics > Moral Psychology > Moral States and Processes > Gratitude,1.000
grounding,"A metaphysical dependence relation where some facts obtain in virtue of others. Grounding is non-causal (facts about wholes grounded in facts about parts) and explanatory. Questions concern grounding's logic, whether it's primitive or reducible, its relationship to essence and supervenience, and whether infinite grounding regresses are acceptable.",https://plato.stanford.edu/entries/grounding/,A,Grounding,3,Metaphysics > Interlevel Metaphysics > Grounding,1.000
habermas,"JÃ¼rgen Habermas (b. 1929) developed critical theory emphasizing communicative rationality and discourse ethics. His theory of communicative action analyzes social integration through consensus-oriented communication. Habermas defended deliberative democracy, constitutional patriotism, and Enlightenment rationality against postmodern critiques, profoundly influencing political and social philosophy.",https://plato.stanford.edu/entries/habermas/,A,Habermas,4,History of Western Philosophy > 20th Century Philosophy > 20th Century Continental Philosophy > Habermas,1.000
happiness,"A contested concept used both as evaluative term (well-being, flourishing) and descriptive psychological state (contentment, life satisfaction). Philosophical questions concern happiness's nature, relationship to pleasure and virtue, whether it's the good life's essence, and how to measure or achieve it. Debates address hedonic versus eudaimonic conceptions.",https://plato.stanford.edu/entries/happiness/,A,Happiness,5,Value Theory > Normative Ethics > Moral Psychology > Moral States and Processes > Happiness,1.000
hate-speech,"Expression attacking persons based on group membership (race, religion, gender, sexual orientation). Questions concern hate speech's definition, whether it causes harm justifying restriction, and tensions between free expression and equality. Most democracies regulate hate speech; the U.S. is notable exception. Debates address dignity versus liberty.",https://plato.stanford.edu/entries/hate-speech/,A,Hate Speech,6,Value Theory > Social and Political Philosophy > Freedom and Liberty > Specific Freedoms > Freedom of Speech > Hate Speech,1.000
hegel,"G.W.F. Hegel (1770â€“1831) developed dialectical idealism systematizing philosophy from logic to absolute spirit. His Phenomenology of Spirit traced consciousness's development; Science of Logic analyzed thought's categories. Hegel's philosophy emphasizes contradiction's productive role, historical development, and reason's self-realization, profoundly influencing subsequent philosophy.",https://plato.stanford.edu/entries/hegel/,A,Hegel,4,History of Western Philosophy > 19th Century Philosophy > 19th Century German Philosophy > Hegel,1.000
hobbes,"Thomas Hobbes (1588â€“1679) developed materialist philosophy and social contract theory. His Leviathan argued natural state is war of all against all, justifying absolute sovereignty through social contract. Hobbes defended mechanistic metaphysics, nominalism, and psychological egoism. His political philosophy profoundly influenced modern political thought.",https://plato.stanford.edu/entries/hobbes/,A,Hobbes,4,History of Western Philosophy > 17th/18th Century Philosophy > 17th/18th Century British Philosophy > Hobbes,1.000
hope,"A future-oriented attitude combining desire and belief in possibility without certainty. Questions concern hope's rationality (can one reasonably hope for the improbable?), relationship to optimism and wishful thinking, and moral significance. Hope features in religion (theological virtue), existentialism (Bloch's principle of hope), and political philosophy.",https://plato.stanford.edu/entries/hope/,A,Hope,5,Value Theory > Normative Ethics > Moral Psychology > Moral States and Processes > Hope,1.000
human-nature,"The essential or characteristic features of human beings. Questions concern whether human nature exists, what it includes (rationality, sociability, language?), and its normative significance. Debates address whether human nature is biologically fixed or culturally variable and whether appeals to human nature justify political arrangements.",https://plato.stanford.edu/entries/human-nature/,A,Human Nature,4,Metaphysics > Persons > Human Beings > Human Nature,1.000
hume,"David Hume (1711â€“1776) developed empiricist philosophy challenging rationalism and religious belief. His Treatise analyzed causation, induction, personal identity, and passions. Hume argued reason is slave of passions, causation is constant conjunction, and inductive inference lacks rational foundation. His skepticism profoundly influenced subsequent philosophy.",https://plato.stanford.edu/entries/hume/,A,Hume,4,History of Western Philosophy > 17th/18th Century Philosophy > 17th/18th Century British Philosophy > Hume,1.000
husserl,"Edmund Husserl (1859â€“1938) founded phenomenology, studying consciousness's structures through transcendental method. He developed intentionality analysis, epochÃ© (bracketing), and eidetic reduction. Husserl's later work emphasized lifeworld and crisis of European sciences. His phenomenology profoundly influenced 20th-century continental philosophy.",https://plato.stanford.edu/entries/husserl/,A,Husserl,4,History of Western Philosophy > 20th Century Philosophy > 20th Century Continental Philosophy > Husserl,1.000
hutcheson,Francis Hutcheson (1694â€“1746) was a Scottish Enlightenment philosopher who developed moral sense theory. He argued that moral judgments derive from an internal moral sense producing approval or disapproval. Hutcheson influenced utilitarianism through his 'greatest happiness' formulations and shaped Hume's and Smith's moral philosophy.,https://plato.stanford.edu/entries/hutcheson/,A,Hutcheson,4,History of Western Philosophy > 17th/18th Century Philosophy > 17th/18th Century British Philosophy > Hutcheson,1.000
idealism,"The philosophical view that reality is fundamentally mental or experiential rather than material. Epistemological idealism holds knowledge is shaped by mind's structure; ontological idealism holds reality itself is mental. Variants include Berkeley's immaterialism, Kant's transcendental idealism, and Hegel's absolute idealism. Debates concern matter's independence of mind.",https://plato.stanford.edu/entries/idealism/,A,Idealism,3,Metaphysics > Global Metaphysical Theories > Idealism,1.000
identity,"The relation each thing bears to itself and only itself. Philosophical questions concern identity's logic and criteria. Leibniz's Law equates identity with sharing all properties. Issues include identity over time (persistence through change), personal identity, relative identity, and whether identity admits degrees. Debates address essentialism and mereology.",https://plato.stanford.edu/entries/identity/,A,Identity,3,Metaphysics > Objects > Identity,1.000
identity-politics,"Political organizing around shared social identities (race, gender, sexuality, disability) and experiences of marginalization. Identity politics emphasizes recognition, empowerment, and addressing group-specific injustices. Debates concern whether identity politics fragments solidarity, essentialism worries, and tensions between recognition and redistribution.",https://plato.stanford.edu/entries/identity-politics/,A,Identity Politics,5,Value Theory > Social and Political Philosophy > Culture and Cultures > Minorities > Identity Politics,1.000
idiolects,"Individual personal languages specifiable by single speaker's intrinsic properties without essential reference to linguistic community. Questions concern whether idiolects exist or are theoretically useful, whether public language is constructed from or prior to idiolects, and implications for meaning externalism versus internalism.",https://plato.stanford.edu/entries/idiolects/,A,Idiolects,3,Philosophy of Language > Languages > Idiolects,1.000
mental-imagery,"Mental representations resembling perceptual experiences but occurring without corresponding stimulation. Imagery occurs in all modalities (visual, auditory, etc.) and plays roles in perception, memory, and action. Debates concern imagery's format (pictorial versus propositional), relationship to perception, and role in cognition.",https://plato.stanford.edu/entries/mental-imagery/,A,Mental Imagery,3,Philosophy of Mind > Mental States and Processes > Mental Imagery,1.000
imagination,"Representing without commitment to actual truth. Imagination enables considering counterfactuals, perspectives, and fictional scenarios. It figures in creativity, pretense, empathy, and modal reasoning. Questions concern imagination's relationship to belief and perception, propositional versus objectual imagination, constraints on imagination, and its cognitive and ethical roles.",https://plato.stanford.edu/entries/imagination/,A,Imagination,3,Philosophy of Mind > Mental States and Processes > Imagination,1.000
imaginative-resistance,"Difficulty imagining certain fictional scenarios, particularly those involving deviant moral or conceptual claims. While easily imagining time travel, we resist imagining moral inversions (murder being praiseworthy). Explanations appeal to imagination's cognitive architecture, alethic versus deontic content, or fiction's relationship to reality.",https://plato.stanford.edu/entries/imaginative-resistance/,A,Imaginative Resistance,4,Philosophy of Mind > Mental States and Processes > Imagination > Imaginative Resistance,1.000
immigration,"Philosophical questions about movement across borders to reside permanently. Issues include states' right to exclude, obligations to refugees, brain drain, and citizenship. Debates contrast open borders advocacy with state sovereignty, addressing whether freedom of movement is fundamental right and how immigration affects distributive justice.",https://plato.stanford.edu/entries/immigration/,A,Immigration,4,Value Theory > Social and Political Philosophy > States and Nations > Immigration,1.000
implicature,"Grice's concept of meaning conveyed beyond literal semantic content through conversational principles. Conventional implicature is encoded linguistically; conversational implicature derives from cooperative principle and maxims (quality, quantity, relation, manner). Implicature explains how 'some' often means 'not all,' metaphor, irony, and indirect speech acts.",https://plato.stanford.edu/entries/implicature/,A,Implicature,3,Philosophy of Language > Pragmatics > Implicature,1.000
integrity,"A virtue involving wholeness, consistency between values and actions, and steadfast adherence to principles. Persons with integrity act according to their commitments even under pressure. Questions concern whether integrity requires correct values, its relationship to morality, and tensions between integrity and moral requirements.",https://plato.stanford.edu/entries/integrity/,A,Integrity,5,Value Theory > Normative Ethics > Moral Psychology > Moral Character > Integrity,1.000
intentionality,"Mind's capacity to be about or represent objects and states of affairs. Mental states have intentionality when they possess content or are directed at something. Central problem is naturalizing intentionalityâ€”explaining how physical systems can have representational content. Theories include causal, teleological, and interpretationist accounts.",https://plato.stanford.edu/entries/intentionality/,A,Intentionality,2,Philosophy of Mind > Intentionality,1.000
