1 Area,2 Subfield,3 Topic Group,4 Topic,5 Subtopic,5.1 SubSubTopic,6 Description GPT5,6.1 Description Gemini
,,,Truthmaker Theory,,,Theory that truths require appropriate ontological grounds—entities or facts whose existence makes them true—imposing constraints on acceptable ontology.,"The theory that for every true proposition, there exists something in the world (a ""truthmaker"") whose existence makes that proposition true."
,,,,Truthmaker Maximalism,,"Strong principle that every truth has a truthmaker, often motivating a rich ontology of facts, states of affairs, or worlds to account for general and negative truths.",The strong version of truthmaker theory which holds that every true proposition has a truthmaker.
,,,,States of Affairs as Truthmakers,,Proposal that obtaining states of affairs (facts of objects instantiating properties) serve as the primary truthmakers for predicative and relational truths.,"The view that the truthmakers for propositions are states of affairs (e.g., the state of affairs of Socrates being wise is the truthmaker for the proposition ""Socrates is wise"")."
,,Ontology of Specific Domains,,,,,
,,,Food Ontology *,,,,
,,,Ontology of Concepts *,,,,
,,,Social Ontology *,,,"Examines the ontology of groups, institutions, and social kinds, including how collective attitudes and practices constitute roles, norms, money, and other “constructed” entities.","The study of the nature and existence of social entities and phenomena, such as institutions, money, laws, and social groups."
,,,Biomedical Ontology *,,,,
,,,Temporal Ontology *,,,,
,Persons,,,,,,
,,Theories of Personal Identity,,,,,
,,,Psychological Theories of Personal Identity,,,,
,,,Physical and Animalist Theories Of Personal Identity,,,,
,,,Nonreductionist Theories of Personal Identity,,,,
,,,xxx Personal Identity,,,"Metaphysics of persons and what makes for sameness of person over time, including relations to bodies, minds, and moral responsibility.","The philosophical problem of what constitutes a person's identity over time, allowing one to be the same person from one moment to the next."
,,,xxx Psychological Continuity,,,"Accounts that ground personal identity in continuity of memory, character, or psychological connections, with attention to branching and duplication cases.","The view that personal identity consists in the continuity of psychological states, such as memories, beliefs, desires, and personality traits."
,,Puzzle Cases in Personal Identity,,,,,
,,,Fission and Split Brains,,,,
,,,Dissociative Identity Disorder *,,,,
,,,Immortality,,,,
,,,Brain Transplants,,,,
,,,Mind Uploading *,,,,
,,,Thought Experiments in Personal Identity,,,,
,,,Transformative Experience,,,,
,,The Self,,,,,
,,,Self-Consciousness *,,,,
,,,Self-Knowledge *,,,,
,,,The Soul *,,,,
,,Personal Identity and Values,,,,,
,,,Personal Identity and Normative Ethics,,,,
,,,Personal Identity and Applied Ethics,,,,
,,,What Matters in Survival,,,,
,,Practical Identity,,,,,
,,,Narrative Identity,,,,
,,,Social Identity,,,,
,,Human Beings,,,,,
,,,Human Nature,,,,
,,,Human Beings Misc,,,,
,,,Transhumanism *,,,,
,,,Human Ecology *,,,,
,,,Human Rights *,,,,
,,,Dehumanization *,,,,
,,Childhood,,,,,
,,,Philosophy for Children *,,,,
,,,Ethics of Childhood *,,,,
,Properties,,,,,,
,,Determinates and Determinables,,,,,
,,Dispositions and Powers *,,,,,
,,Intrinsic and Extrinsic Properties,,,,,
,,Natural Properties,,,,,
,,Property Nominalism,,,,,
,,Quantities,,,,,
,,Relations,,,,,
,,Tropes,,,,,
,,Universals,,,,,
,,Essence and Essentialism,,,,,
,,,Essentialism and Quantified Modal Logic,,,,
,,,Essentialism about Species *,,,,
,,,Origins Essentialism,,,,
,,,Scientific Essentialism,,,,
,,,Anti-Essentialism,,,,
,,,Essence and Essentialism Misc,,,,
,,XXX Universals vs Tropes,,,,"Contrasts repeatable universals with particularized property-instances (tropes), evaluating which better explains resemblance, causation, and the structure of facts.","A debate within the theory of properties. Universals are repeatable properties that can be instantiated by multiple objects (e.g., the single property of 'redness' in many red things). Tropes are particularized properties, where each red object has its own unique instance of redness."
,,XXX Properties and Universals,,,,"Investigates the nature of properties, relations, and kinds—whether they are universals shared by many particulars or particularized property-instances—and how they explain similarity and laws.","The study of the nature of properties (e.g., redness, roundness) and universals (qualities or relations that can be instantiated by many different things at once)."
,,,XXX Realism vs Nominalism,,,"Debate over whether universals exist (realism) or whether only particulars exist and similarity is handled without universals (nominalism), including trope-theoretic and conceptualist alternatives.","The central debate in the metaphysics of properties. Realism holds that universals (like 'redness') exist independently of the particular things that have them. Nominalism denies the existence of universals, claiming that only particular things exist."
,Realism and Anti-Realism,,,,,"A family of disputes about whether a given domain has mind-independent facts that make its claims objectively true or false, OR whether its apparent “facts” depend on our concepts, practices, responses, or epistemic conditions. Realists typically affirm domain-appropriate objectivity (often including stance-independence and robust truth-conditions), while anti-realist positions deny or reinterpret that objectivity (e.g., via verificationism, constructivism, fictionalism, or expressivism).",
,,Metaphysical Realism,,,,"The view that the world has a determinate, mind-independent structure, and that truths are fixed by how that world is, not by our conceptual schemes. It is often paired with the idea that there is a uniquely “correct” description of reality.","The world consists of a fixed, mind-independent structure of objects, properties, and relations that exists regardless of our ability to perceive or describe it. It typically entails the correspondence theory of truth: a statement is true if it accurately matches this independent reality."
,,Internal Realism,,,,"The view (assoc. with Hilary Putnam) that truth and objectivity are not “from nowhere,” but are assessed within a conceptual or linguistic framework, where standards of correct description operate. Objects and properties are inextricably linked to the concepts we use to identify them. It aims to preserve objectivity while rejecting the idea of a single, scheme-independent “God’s-eye” description of the world.",
,,The Model-Theoretic Argument,,,,"An argument (Hilary Putnam) that formal model theory undermines metaphysical realism by showing that a theory’s formal satisfaction conditions can be met by multiple, systematically different interpretations. The intended conclusion is that metaphysical realism cannot by itself secure a determinate reference relation between our terms and particular worldly items.","An argument (Hilary Putnam) against metaphysical realism, aiming to show that reference is indeterminate because any consistent theory can be mapped onto the world in infinitely many ways. It suggests that truth cannot be a mere correspondence to reality, as there is no single, unique relationship between words and mind-independent objects."
,,Moral Realism and Irrealism *,,,,"Moral realism: at least some moral claims are objectively true or false in virtue of moral facts or properties that do not reduce to mere attitudes or conventions. Moral irrealism: denies this by rejecting moral facts, rejecting truth-aptness, or explaining moral discourse in non-realist terms (e.g., as expressive of attitudes).","Whether moral properties exist as objective facts (like ""goodness"" or ""wrongness"") of the world (Realism) or are non-existent/subjective (Irrealism). Realists: moral claims can be literally true or false, while Irrealists: often interpret them as expressions of emotion, social constructs, or erroneous beliefs."
,,Ontological Realism *,,,,,
,,Quasi-Realism *,,,,,
,,Scientific Realism *,,,,,
,,Social Constructivism,,,,"The view that some kinds or facts—especially social categories—depend significantly on human practices, institutions, classificatory schemes, or power relations. It need not deny mind-independent reality in general; it targets dependence relations for particular domains (e.g., money, gender roles, diagnoses, legal statuses).","Certain entities, facts, or categories are products of social interactions and historical processes rather than inevitable natural kinds. It emphasizes that what is considered ""real"" or ""true"" in these domains is constituted by human agreement, culture, and power structures."
,,Semantic Anti-Realism,,,,,
,,Realism and Anti-Realism Misc,,,,,
,,Aesthetic Realism and Anti-Realism *,,,,,
,,Eliminativism,,,,,
,,,Eliminative Conceptions of Material Objects *,,,,
,,,Eliminativism Misc,,,,
,,,Temporal Eliminativism *,,,,
,,,Causal Eliminativism *,,,,
,,,Eliminativism about Race *,,,,
,,,Eliminativism about Gender *,,,,
,,,Eliminativism about Sex *,,,,
,,,Eliminative Materialism *,,,,
,,,Eliminativism about Propositional Attitudes *,,,,
,,,Eliminativism about Consciousness *,,,,
,,,Eliminativism about Qualia *,,,,
,,,Global Eliminativism,,,,
,,Reality,,,,,
,Time,,,,,"Focused inquiry into the nature of time—its direction, passage, metric, and ordering—and how physics and experience constrain views of temporality.","The philosophical investigation into the nature of time, including its passage, its direction, and the reality of the past, present, and future."
,,Temporal Ontology,,,,,
,,,Eternalism,,,,
,,,Growing Block Views,,,,
,,,Presentism,,,,
,,,The Open Future,,,,
,,,Determinism *,,,,
,,,Fatalism *,,,,
,,,Temporal Eliminativism,,,,
,,,Presentism vs Eternalism (incl. Growing Block),,,"Ontological dispute about what exists in time: only the present (presentism), all times equally (eternalism), or a growing totality of the past and present (growing block).","A debate related to the A-theory/B-theory. Presentism holds that only the present exists. Eternalism holds that past, present, and future all exist. The Growing Block theory holds that the past and present exist, but the future does not."
,,The Passage of Time,,,,,
,,,A-Theories of Time,,,,
,,,B-Theories of Time,,,,
,,,A-Theory and B-Theory,,,"Debate between tensed (A-theory: objective present, passage) and tenseless (B-theory: static earlier–later relations) accounts of time and temporal truth.","The debate over the nature of time. The A-theory holds that there is a genuine objective present that is constantly changing (time flows). The B-theory holds that all moments in time are equally real and that the ""flow"" of time is an illusion."
,,,Experience of Temporal Passage *,,,,
,,,McTaggart's Argument,,,,
,,,Time and Change,,,,
,,Aspects of Time,,,,,
,,,Persistence *,,,,
,,,Physics of Time *,,,,
,,,Temporal Experience *,,,,
,,,Temporal Logic *,,,,
,,,Temporal Expressions *,,,,
,,,The Direction of Time,,,,
,,,Time Travel,,,"Explores logical and metaphysical possibility of time travel and how to reconcile it with causation, freedom, and paradoxes (grandfather, bootstrap).",The philosophical and physical investigation into the possibility of moving backward or forward in time.
Philosophy of Action,,,,,,,
,Free Will,,,,,,
,,Free Will and Science,,,,,
,,,Free Will and Genetics,,,,
,,,Free Will and Neuroscience,,,,
,,,Free Will and Physics,,,,
,,,Free Will and Psychology,,,,
,,The Will *,,,,,
,,Theories of Free Will,,,,,
,,,Agent Causation,,,,
,,,Compatibilism,,,,
,,,Free Will Skepticism,,,,
,,,Identification Theories,,,,
,,,Incompatibilism,,,,
,,,Libertarianism about Free Will,,,,
,,,Semi-Compatibilism,,,,
,,,Theories of Freedom *,,,,
,,Topics in Free Will,,,,,
,,,Alternative Possibilities,,,,
,,,Determinism,,,,
,,,Fatalism,,,,
,,,Free Will and Responsibility,,,,
,,,Free Will and Foreknowledge,,,,
,,,Responsibility and Reactive Attitudes *,,,,
,,,The Consequence Argument,,,,
,,Moral Responsibility *,,,,,
,,Free Will Misc,,,,,
,Decision Theory,,,,,,
,,Decision-Theoretic Frameworks,,,,,
,,,Causal Decision Theory,,,,
,,,Evidential Decision Theory,,,,
,,Decision-Theoretic Puzzles,,,,,
,,,Decision-Theoretic Puzzles Misc,,,,
,,,Newcomb's Problem,,,,
,,,Pascal's Wager *,,,,
,,,St. Petersburg Paradox,,,,
,,,Toxin Puzzle,,,,
,,,Two-Envelope Paradox,,,,
,,Game Theory,,,,,
,,,Convention and Coordination,,,,
,,,Evolutionary Game Theory,,,,
,,,Game-Theoretic Principles,,,,
,,,Game Theory and Ethics,,,,
,,,Game Theory and Political Philosophy,,,,
,,,Prisoner's Dilemma,,,,
,,,Normative and Descriptive Game Theory,,,,
,,Topics in Decision Theory,,,,,
,,,Decision Theory and Ethics,,,,
,,,Infinite Decision Theory,,,,
,,,Normative and Descriptive Decision Theory,,,,
,,,Utility,,,,
,,,Decision Theory and Hypothesis Testing,,,,
,,,Preferences in Decision Theory,,,,
,,,Desire as Belief *,,,,
,,,Psychology of Decision *,,,,
,,,Transformative Experience *,,,,
,,,Risk,,,,
,,,,Existential Risk,,,
,,,,Moral Risk,,,
,,,,Risk in Decision Theory,,,
,,,Inductive Risk *,,,,
,,,Topics in Decision Theory Misc,,,,
,,Philosophy of Action Misc,,,,,
,Action Theory,,,,,,
,,The Nature of Action,,,,,
,,,Causal Theory of Action,,,,
,,,Defining Action,,,,
,,,Agent Causation *,,,,
,,,The Structure of Action,,,,
,,,Volitional Theories of Action,,,,
,,,Noncausal Theories of Action,,,,
,,,Identification Theories *,,,,
,,Specific Agentive Phenomena,,,,,
,,,Collective Action,,,,
,,,Intentional Action *,,,,
,,,Mental Actions *,,,,
,,,Trying,,,,
,,,Abilities,,,,
,,,Skills,,,,
,,,Omissions,,,,
,,,Habits,,,,
,,,Motivation and Will *,,,,
,,,Intentions *,,,,
,,Explanation of Action,,,,,
,,,Mental Causation *,,,,
,,,Psychological Explanation *,,,,
,,,Reasons and Causes *,,,,
,,Action Theory Miscellaneous,,,,,
,,,Action Sentences,,,,
,,,Consciousness of Action *,,,,
,,,Self-Consciousness in Action *,,,,
,,,Intentional Action *,,,,
,,,Knowledge of Action,,,,
,,,Perception and Action *,,,,
,,,Attention and Action *,,,,
,Intentions,,,,,,
,,Collective Intentions,,,,,
,,Intentional Action,,,,,
,,Toxin Puzzle *,,,,,
,,Volition *,,,,,
,,The Nature of Intention,,,,,
,,Intention and Knowledge,,,,,
,,Intention-Based Reasoning,,,,,
,,The Simple View of Intention,,,,,
,Moral Responsibility *,,,,,,
,Motivation and Will,,,,,,
,,Free Will *,,,,,
,,Compulsion and Addiction,,,,,
,,Motivation,,,,,
,,The Will,,,,,
,,Weakness of Will,,,,,
,,Volition,,,,,
,Agency,,,,,,
,,Agent Causation *,,,,,
,,Identification Theories *,,,,,
,,Autonomy and Agency,,,,,
,Practical Reason,,,,,,
,,Moral Psychology *,,,,,
,,Moral Reasoning and Motivation *,,,,,
,,Decision,,,,,
,,Deliberation,,,,,
,,Desire and Motivation *,,,,,
,,Desire and Reason,,,,,
,,Instrumental Reasoning,,,,,
,,Practical and Theoretical Reasoning,,,,,
,,Rational Requirements *,,,,,
,Reasons,,,,,,
,,Internalism and Externalism about Reasons,,,,,
,,Reasons and Causes,,,,,
,,Reasons and Oughts,,,,,
,,Reasons and Rationality,,,,,
,,Subjective and Objective Reasons,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Metaphilosophy,,,,,,,
,Epistemology of Philosophy,,,,,,
,,Epistemology of Philosophy Misc,,,,,
,,Metaphilosophical Skepticism,,,,,
,,Modal Epistemology *,,,,,
,,Philosophical Methods *,,,,,
,Metaphilosophical Views,,,,,,
,,Empiricism,,,,,
,,,Constructive Empiricism *,,,,
,,,Logical Empiricism *,,,,
,,,Modal Empiricism *,,,,
,,,Innateness *,,,,
,,,Empirical Stance *,,,,
,,Naturalism,,,,,
,,,Moral Naturalism and Non-Naturalism *,,,,
,,,Arguments from Naturalism against Theism *,,,,
,,,Normativity and Naturalism *,,,,
,,,Naturalism and Intentionality *,,,,
,,,Naturalism in Economics *,,,,
,,,Naturalism in Jurisprudence *,,,,
,,,Mathematical Naturalism *,,,,
,,,Metaphysical Naturalism *,,,,
,,Pragmatism,,,,,
,,,Pragmatism Misc,,,,
,,,Pragmatism about Truth *,,,,
,,,Feminist Pragmatism *,,,,
,,,American Pragmatism *,,,,
,,Rationalism,,,,,
,,,Moral Rationalism *,,,,
,,,Modal Rationalism *,,,,
,,,Innateness *,,,,
,,Positivism,,,,,
,,,Logical Empiricism *,,,,
,,,Positivism about Economics *,,,,
,,,Legal Positivism *,,,,
,,,Verificationism,,,,
,Philosophical Methods,,,,,,
,,Argument *,,,,,
,,Conceptual Analysis,,,,,
,,Conceptual Engineering,,,,,
,,Computational Philosophy,,,,,
,,Ethnographic Philosophy,,,,,
,,Experimental Philosophy *,,,,,
,,Formal Philosophy,,,,,
,,Genealogical Method,,,,,
,,,Genealogical Debunking,,,,
,,,,Debunking Arguments about Metaphysics *,,,
,,,,Debunking Arguments about Morality *,,,
,,,,Debunking Arguments about Religion,,,
,,,Genealogical Justification,,,,
,,,Historical Genealogy,,,,
,,,Fictional Genealogy,,,,
,,Intuition *,,,,,
,,Methodology in Metaphysics *,,,,,
,,Linguistic Analysis in Philosophy,,,,,
,,Philosophical Methods Misc,,,,,
,,Rhetoric,,,,,
,,Thought Experiments,,,,,
,,Transcendental Arguments,,,,,
,Experimental Philosophy,,,,,,
,,Experimental Aesthetics,,,,,
,,Experimental Philosophy of Action,,,,,
,,,Experimental Philosophy: Free Will,,,,
,,,Experimental Philosophy: Intentional Action,,,,
,,Experimental Philosophy of Language,,,,,
,,,Experimental Philosophy: Reference,,,,
,,,Experimental Philosophy: Semantics,,,,
,,Experimental Philosophy of Law,,,,,
,,Experimental Philosophy of Mind,,,,,
,,,Experimental Philosophy: Consciousness,,,,
,,Experimental Philosophy of Religion,,,,,
,,Experimental Philosophy of Science,,,,,
,,Experimental Philosophy: Ethics,,,,,
,,,Experimental Philosophy: Bioethics,,,,
,,,Experimental Philosophy: Folk Morality,,,,
,,Experimental Philosophy: Epistemology,,,,,
,,,Experimental Philosophy: Contextualism and Invariantism,,,,
,,Experimental Philosophy: Metaphysics,,,,,
,,,Experimental Philosophy: Causation,,,,
,,,Experimental Philosophy: Persons,,,,
,,Foundations of Experimental Philosophy,,,,,
,,,Critiques of Experimental Philosophy,,,,
,,Experimental Philosophy Miscellaneous,,,,,
,,,Experimental Philosophy: Crosscultural Research,,,,
,,,Experimental Philosophy: Corpus Analysis,,,,
,Metaphilosophy Miscellaneous,,,,,,
,,Disagreement in Philosophy,,,,,
,,Kinds of Philosophy,,,,,
,,Metaontology *,,,,,
,,The Nature of Philosophy,,,,,
,,,The Nature of Analytic Philosophy,,,,
,,,Philosophical Language,,,,
,,,Philosophical Progress,,,,
,,,The Role of Philosophy,,,,
,,,The Value of Philosophy,,,,
,,Traditions in Philosophy,,,,,
,,Verbal Disputes *,,,,,
,,Women in Philosophy *,,,,,
Philosophy of Language,,,,,,,
,Philosophy of Linguistics,,,,,,
,,Syntax *,,,,,
,,Semantics,,,,,
,,,Formal Semantics,,,,
,,,Generative Semantics,,,,
,,,Lexical Semantics,,,,
,,,Semantic Phenomena *,,,,
,,,Semantic Theories *,,,,
,,,Specific Expressions *,,,,
,,,,Quotation,,,
,,,,,Use and Mention:  Use-Mention Distinction,Distinguishes using an expression to talk about its referent from mentioning it to talk about the expression itself. It's central for explaining why metalinguistic reference can change what is semantically asserted even while leaving pragmatic effects (including offensiveness) in play. Foundational tool in analytic philosophy.,
,,,Semantics-Pragmatics Distinction *,,,,
,,Other Areas of Linguistics,,,,,
,,,Natural Language Processing *,,,,
,,,Phonology,,,,
,,,Pragmatics *,,,,
,,,Psycholinguistics,,,,
,,,Sociolinguistics,,,,
,,Methodology of Linguistics,,,,,
,,,Competence and Performance,,,,
,,,Linguistic Intuitions,,,,
,,,Prescriptivism and Descriptivism,,,,
,,,Psychological Reality in Linguistics,,,,
,,"Philosophy of Linguistics, Misc.",,,,,
,,,Knowledge of Language *,,,,
,,,Linguistic Innateness *,,,,
,,,The Status of Linguistic Theories,,,,
,,,Language Acquisition,,,,
,Language Production and Comprehension,,,,,,
,,Knowledge of Language,,,,,
,,,Competence and Performance *,,,,
,,,Nature of Linguistic Knowledge,,,,
,,,Knowledge of Syntax,,,,
,,,Language Understanding *,,,,
,,,Linguistic Intuitions *,,,,
,,,Lexical Knowledge,,,,
,,Language Understanding,,,,,
,,,Linguistic Perception,,,,
,,,Perception of Meaning,,,,
,,,Speech Perception,,,,
,,Language Production,,,,,
,,Speech and Language Disorders,,,,,
,Languages,,,,,,
,,Linguistic Convention,,,,,
,,Idiolects,,,,"An individual's unique use of a language (i.e., vocabulary, pronunciations, grammatical preferences, and pragmatic habits). They're important because they help explain how meaning and understanding can be stable at the community level while varying across individuals. In contrast, dialect is set of linguistic characteristics shared among a group of people.",
,,Knowledge of Language *,,,,,
,,"Languages, Misc",,,,,
,,Linguistic Universals,,,,,
,,Private Language,,,,,
,,Public Language,,,,,
,,Sign Language,,,,,
,,Words,,,,,
,Language and Society,,,,,,
,,Freedom of Speech *,,,,,
,,Law and Language *,,,,,
,,Propaganda,,,,,
,,Slurs *,,,,,
,,Sociolinguistics *,,,,,
,Meaning,,,,,,
,,The Basis of Meaning,,,,,
,,,Deflationary Theories of Meaning,,,,
,,,Inferentialist Accounts of Meaning and Content *,,,,
,,,Interpretivist Accounts of Meaning and Content *,,,,
,,,Intention-Based Theories of Meaning,,,,
,,,Thought-Based Theories of Meaning,,,,
,,,Use Theories of Meaning,,,,
,,,Naturalizing Mental Content *,,,,
,,,Theories of Reference *,,,,
,,,Verificationist Theories of Meaning,,,,
,,,Rule-Based Theories of Meaning,,,,
,,Aspects of Meaning,,,,,
,,,Kripkenstein on Meaning,,,,
,,,Meaning Holism,,,,
,,,Speaker Meaning and Linguistic Meaning,,,,
,,,Normativity of Meaning and Content,,,,
,,Analyticity,,,,,
,,,Conceptual Analysis *,,,,
,,,Analyticity and A Priority,,,,
,,,Definitions,,,,
,,,Synonymy,,,,
,,,The Analytic-Synthetic Distinction,,,,
,,,The Paradox of Analysis,,,,
,,Interpretation,,,,,
,,,Interpretivist Accounts of Meaning and Content *,,,,
,,,The Principle of Charity,,,,
,,,Radical Interpretation,,,,
,,,Legal Interpretation *,,,,
,,,Literary Interpretation *,,,,
,,,Interpretivist Theories of Law *,,,,
,,,Interpretability in Artificial Intelligence *,,,,
,,,The Interpretation of Art *,,,,
,,Propositions,,,,,
,,,Propositions as Acts,,,,
,,,Propositions as Pleonastic,,,,
,,,Propositions as Sets of Worlds,,,,
,,,Propositions as Simple,,,,
,,,Structured Propositions,,,,
,,,Singular Propositions,,,,
,,,Propositional Temporalism and Eternalism,,,,
,,,The Role of Propositions,,,,
,,,Propositions and That-Clauses,,,,
,,,Attitude Ascriptions *,,,,
,,,Propositions and Facts,,,,
,,,The Unity of the Proposition,,,,
,,Translation,,,,,
,,,The Indeterminacy of Translation,,,,
,,Semantic Phenomena,,,,,
,,,Ambiguity and Polysemy,,,,
,,,Compositionality,,,,
,,,Context and Context-Dependence *,,,,
,,,Conventional Implicature,,,,
,,,Intensionality and Opacity,,,,
,,,Logical Form,,,,
,,,Nonliteral Meaning,,,,
,,,Scope,,,,
,,,Semantic Values,,,,
,,,Metaphor *,,,,
,,Fregean Theories of Meaning,,,,,
,,,Frege's Puzzle,,,,
,,,Fregean Sense,,,,
,,,Fregean Theories of Attitude Ascriptions *,,,,
,,,Fregean and Russellian Contents *,,,,
,,Russellian and Direct Reference Theories of Meaning,,,,,
,,,Direct Reference Theories of Indexicals *,,,,
,,,Millian Theories of Names *,,,,
,,,Russellian Theories of Attitude Ascriptions *,,,,
,,,Singular Propositions *,,,,
,,,Structured Propositions *,,,,
,,Semantic Theories,,,,,
,,,Conceptual Semantics,,,,
,,,Event-Based Semantics,,,,
,,,Fregean Theories of Meaning *,,,,
,,,Possible World Semantics,,,,
,,,Justificationist Semantics,,,,
,,,Relevance Theory *,,,,
,,,Russellian and Direct Reference Theories of Meaning *,,,,
,,,Situation Semantics,,,,
,,,Truth-Conditional Theories,,,,
,,,Truthmaker Semantics,,,,
,,,Two-Dimensional Semantics,,,,
,,,Type-Theoretic Semantics,,,,
,,,The Nature of Contents *,,,,
,,,Dynamic Semantics,,,,
,,,Use-Conditional Semantics,,,,
,,Intentionality *,,,,,
,,,,,,,
,,,,,,,
,Reference,,,,,,
,,Theories of Reference,,,,,
,,,Causal Theories of Reference,,,,
,,,Deflationary Theories of Reference,,,,
,,,Descriptive Theories of Reference,,,,
,,,Russellian and Direct Reference Theories of Meaning *,,,,
,,,Indeterminacy and Inscrutability of Reference,,,,
,,,Empty Names *,,,,
,,,Intension and Extension,,,,
,,,Nonreferring Expressions,,,,
,,,Reference Failure,,,,
,,,Rigid Designation,,,,
,,,Speaker Meaning and Linguistic Meaning *,,,,
,"Philosophy of Language, Miscellaneous",,,,,,
,,Evolution of Language,,,,,
,,Law and Language *,,,,,
,,The Role of Language in Thought,,,,,
,,Use and Mention,,,,,
,,"Philosophy of Language, General Works",,,,,
,Pragmatics,,,,,,
,,Assertion,,,,,
,,,Moore's Paradox,,,,
,,,Conditional Assertion *,,,,
,,,Norms of Assertion,,,,
,,Context and Context-Dependence,,,,,
,,,Context and Logical Form,,,,
,,,Character and Content *,,,,
,,,Epistemic Contextualism *,,,,
,,,Semantic Contextualism,,,,
,,,Semantic Minimalism,,,,
,,,The Nature of Context,,,,
,,,The Scope of Context-Dependence,,,,
,,,Contextual Theories of Vagueness *,,,,
,,,Hidden-Indexical Theories of Attitude Ascriptions *,,,,
,,,Predicates and Context-Dependence *,,,,
,,Discourse,,,,,
,,,Dialogue,,,,
,,,Discourse Coherence,,,,
,,,Discourse Representation,,,,
,,,Conversational norms,,,"Rule-governed expectations (about relevance, propriety, presupposition, and uptake) that structure how utterances are interpreted in context. In pragmatic theory, these norms help determine when an utterance is treated as appropriate, insulting, joking, quoted, or otherwise “licensed” in a given conversational setting.",
,,Implicature,,,,"Denotes either (i) the act of meaning or implying one thing by saying something else, or (ii) the object of that act. (i.e., Metaphor, Irony; damning with faint praise). What a speaker meant in addition to or instead of what was literally said",
,,,Conventional Implicature *,,,"What someone implicates is not given to us directly. We have to infer it from evidence. An implicature:  can be characterized as an inference (“something inferred”), but implicating is not itself inferring. To implicate something is to express a belief in a particular way. To infer something is to acquire or possess a belief in a particular way. Hearers have to infer what speakers implicate. But implicatures do not result from inferences. Furthermore, the fact that implicatures are inferred is not what makes implicating an indirect speech act. Implicature is indirect because to implicate something is to mean it by saying something else.",
,,,Conversational Implicature,,,"They depend on features of the conversational context, and are not determined by the conventional meaning of the sentences uttered. Historical linguistics traces the evolution of conversational implicatures into idioms.",
,,,,Figures of speech (tropes),,"Irony, overstatement (hyperbole), un.derstatement (meiosis and litotes), metaphor",
,,Linguistic Communication,,,,,
,,Linguistic Focus,,,,,
,,Linguistic Force,,,,,
,,Metaphor,,,,,
,,Presupposition,,,,,
,,Relevance Theory,,,,,
,,Semantics-Pragmatics Distinction,,,,,
,,Speech Acts,,,,"Speech act theory studies what speakers do with words (e.g., asserting, promising, warning), not just what expressions mean. It distinguishes what is said, what act is done in saying it, and what effects are produced by saying it.",
,,,Core of Speech Act Theory,,,,
,,,,Locutionary act,,"Producing a meaningful utterance. Saying certain words with a determinate sense and reference. It is the “saying” component that can be separated from what one thereby does (e.g., warn) and what one thereby causes (e.g., frighten)",
,,,,Illocutionary acts/force,,"What one does in saying something (asserting, promising, ordering, apologizing), characterized by its illocutionary force. “Force” marks the act-type or mode (assertion vs request vs promise) rather than the propositional content expressed.",
,,,,,Slurs as Speech Acts,"Treats slurs as acts that can derogate or subordinate. Their status depends on illocutionary force and uptake, not only on descriptive content. Treating slurs as speech acts emphasizes that derogation can be performed by the act of uttering a term in context, not merely by the proposition expressed. This approach integrates semantic/pragmatic properties of slurs with their illocutionary force and their role in enacting social hierarchy or contempt.","slurs are treated not merely as carriers of derogatory content but as performing an illocutionary act (e.g., insulting, subordinating, excluding, or licensing discriminatory uptake in context). The emphasis is on what the utterance does socially (its force and normative significance), beyond what it semantically encodes"
,,,,Perlocutionary effects,,"The changes an utterance brings about in an audience (i.e., convincing, alarming, encouraging, or silencing) whether or not the speaker explicitly labels that as what they were doing. They are outcomes of speaking, distinct from the illocutionary act performed.",
,,,,,Persuasion,"An utterance succeeds (or aims to succeed) in changing beliefs, attitudes, or intentions. This as an effect produced by speaking, not as the illocutionary force itself (asserting, warning, insulting, etc.).",
,,,,,Intimidation,"An utterance produces fear, compliance, or self-silencing in an audience. This is an outcome that may be sought intentionally (e.g., via threats) and may occur even when the illocutionary act is described differently by the speaker.",
,,,Types of Speech Acts,,,"Illocutionary kinds that philosophers analyze for their conditions of success, characteristic norms, and typical social functions.",
,,,,Apologies *,,"An expressive illocution: speaker acknowledges a wrong (or offense) and expresses regret in a way that can repair standing or relationships. Success depends on appropriateness conditions (e.g., responsibility, sincerity, uptake).",
,,,,Lying *,,Lying is commonly characterized as asserting something one believes to be false with the intention to deceive a hearer (or otherwise mislead) about the matter asserted. It is often contrasted with merely conveying falsehoods without deceptive intent.,
