1 Area,2 Subfield,3 Topic Group,4 Topic,5 Subtopic,5.1 SubSubTopic,6 Description GPT5,6.1 Description Gemini,6.2 Description SEP,6.3 Description SEP,SEP Entry ID,SEP Title,SEP URL,SEP Match Method,SEP Fuzzy Score
,,,Type-Theoretic Semantics,,,,,,,,,,,
,,,The Nature of Contents *,,,,,,,,,,,
,,,Dynamic Semantics,,,,,"Dynamic semantics is a perspective on natural language semantics that emphasizes the growth of information in time. It is an approach to meaning representation where pieces of text or discourse are viewed as instructions to update an existing context with new information, the result of which is an updated context. In a slogan: meaning is context change potential. It is important to be aware of the abstractness of this perspective so as to guard against various non sequiturs. For one thing, one could easily think that dynamic semantics or update semantics is committed at least in part to an internalist idea of semantics since the information states are ""internal""-in the sense that they are wholly contained in the individual mind/brain. In other words, one might think that the information states of dynamic semantics are what Putnam (1975) calls ""states in the sense of methodological solipsism"". See the entries on scientific realism, computational theory of mind, externalism about mental content, and narrow mental content. However, the general framework says nothing about what the states are. The state could very well include the environment in which the interpreter is embedded and thus contain an ""external"" component. A second possible misunderstanding is that dynamic semantics or update semantics is in complete opposition to classical truth conditional semantics (compare the entries on classical logic and first-order model theory). In fact, as this entry will soon make clear, what dynamic semantics provides is a generalization of truth conditional semantics rather than a radically different alternative. The classical meanings become the preconditions for success of the discourse actions. Dynamic semanticists claim that compositional meanings have the nature of functions or relations and the classical meanings are recoverable from the relational dynamic meanings as projections onto their ""input"" coordinate. The point of the use of an abstract framework is not to give empirical predictions. This is the task of specific realizations inside the framework. The framework of dynamic semantics (i) provides a direction of thinking and (ii) allows us to import methods from the mathematical study of the framework. It follows that the question whether natural language meaning is intrinsically dynamic does not have an empirical answer. Still, what can be said is that the study of interpretation as a linearly-ordered process has proven quite fruitful and rewarding. Since dynamic semantics focuses on the discourse actions of sender and receiver, it is in a sense close to use-oriented approaches to meaning in philosophy such as the work of Wittgenstein and Dummett. However, easy identifications between dynamic semantics and these approaches are to be avoided. Dynamic semantics as an abstract framework is compatible with many philosophical ways of viewing meaning and interpretation. Dynamic semantics aims to model meaning and interpretation. You can do that without answering broader philosophical questions such as the question of what it is that makes it possible for the subject to be related to these meanings at all. For example, in dynamic predicate logic we take the meaning of horse as given without making any substantial claim about what it means for a subject to have the concept of horse; we just stipulate the subject has it. This is not to say such questions-which are at the center of the work of Wittgenstein and Dummett-should not ultimately be answered: it's just that a model can be of interest even if it does not answer them. (Note that dynamic semantics tries to give a systematic and compositional account of meaning, which makes it markedly different in spirit from Wittgenstein's later philosophy.) One approach to dynamic semantics is discourse representation theory (DRT, Kamp 1981). (Closely related to Kamp's approach is Irene Heim's file change semantics (FCS, Heim 1983a) and the discourse semantics of Seuren 1985). Meanings in DRT are so-called discourse representation structures (DRSs). These structures are a type of database that contains specific pieces of information. In and of itself a DRS is a static object, but DRT can be said to be a dynamic semantic framework because it allows us to understand the process of composing meanings as a process of merging discourse representation structures. In this way, information change becomes an integral part of the interpretation process. Our main focus in this entry is a second approach to dynamic semantics, although we will compare things to DRT along the way. In this second approach, dynamic meanings are types of actions, things that are individuated by the changes they effect. This is the approach associated with dynamic predicate logic (DPL, Groenendijk and Stokhof 1991a). According to this dynamic semantic tradition, a meaning is a specification of how a receiver's information state would be modified. It could for instance be a function that maps an old information state to one which has been updated with the information that the meaning embodies. Alternatively, it could be a relation that expresses the kind of information change that the meaning brings about. (For early work in this tradition, see Groenendijk and Stokhof 1991a,b; Muskens 1991; Dekker 1993; Vermeulen 1993; van Eijck 1994; Vermeulen 1994; Krahmer 1995; van den Berg 1996; Groenendijk et al. 1996; Aloni 1997; Muskens et al. 1997).","Semantic frameworks treating meaning as context-change potential rather than truth conditions. Utterances update contexts with new information. Dynamic semantics addresses anaphora, presupposition, and temporal reference better than static approaches. The perspective emphasizes language's incremental, context-dependent nature and information flow in discourse.",/entries/dynamic-semantics/,Dynamic Semantics,https://plato.stanford.edu/archives/win2021/entries/dynamic-semantics/,title_exact_strict,
,,,Use-Conditional Semantics,,,,,,,,,,,
,,Intentionality *,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Reference,,,,,,,"Reference is a relation that obtains between certain sorts of representational tokens and objects. For instance, when I assert that ""Barack Obama is a Democrat,"" I use a particular sort of representational token-i.e. the name 'Barack Obama'-which refers to a particular individual-i.e. Barack Obama. While names and other referential terms are hardly the only type of representational token capable of referring (consider, for instance, concepts, mental maps, and pictures), linguistic tokens like these have long stood at the center of philosophical inquiries into the nature of reference. Accordingly, this entry will focus primarily on linguistic reference.[1] Assuming that at least some token linguistic expressions really do refer, a number of interesting questions arise. How, for example, does linguistic reference relate to the act of referring-something that we as speakers do with referential terms? How exactly do referential terms come to refer? That is, in virtue of what do they refer to what they do? Is there a single answer to this question, a single mechanism of reference, or different answers depending on the sort of term in question? And what what exactly is the relationship between reference and meaning? Answers to these various questions will turn out to be closely related; the task of this entry will be to trace out some of the main clusters of answers.","The relation between linguistic expressions and what they stand for or represent. Theories address how names, descriptions, and other terms refer to objects. Key debates concern direct reference versus descriptivism, empty names, and whether reference is determined by causal chains or descriptive content.",/entries/reference/,Reference,https://plato.stanford.edu/archives/win2021/entries/reference/,title_exact_strict,
,,Theories of Reference,,,,,,,,,,,,
,,,Causal Theories of Reference,,,,,,,,,,,
,,,Deflationary Theories of Reference,,,,,,,,,,,
,,,Descriptive Theories of Reference,,,,,,,,,,,
,,,Russellian and Direct Reference Theories of Meaning *,,,,,,,,,,,
,,,Indeterminacy and Inscrutability of Reference,,,,,,,,,,,
,,,Empty Names *,,,,,,,,,,,
,,,Intension and Extension,,,,,,,,,,,
,,,Nonreferring Expressions,,,,,,,,,,,
,,,Reference Failure,,,,,,,,,,,
,,,Rigid Designation,,,,,,,,,,,
,,,Speaker Meaning and Linguistic Meaning *,,,,,,,,,,,
,"Philosophy of Language, Miscellaneous",,,,,,,,,,,,,
,,Evolution of Language,,,,,,,,,,,,
,,Law and Language *,,,,,,,,,,,,
,,The Role of Language in Thought,,,,,,,,,,,,
,,Use and Mention,,,,,,,,,,,,
,,"Philosophy of Language, General Works",,,,,,,,,,,,
,Pragmatics,,,,,,,"When a diplomat says yes, he means 'perhaps'; When he says perhaps, he means 'no'; When he says no, he is not a diplomat. -Voltaire (Quoted, in Spanish, in Escandell 1993.) These lines - also attributed to H. L. Mencken and Carl Jung - may or may not be fair to diplomats, but are surely correct in reminding us that more is involved in what one communicates than what one literally says; more is involved in what one means than the standard, conventional meaning of the words one uses. The words 'yes,' 'perhaps,' and 'no' each has a perfectly identifiable meaning, known by every speaker of English (including not very competent ones). However, as those lines illustrate, it is possible for different speakers in different circumstances to mean different things using those words. How is this possible? What's the relationship among the meaning of words, what speakers mean when uttering those words, the particular circumstances of their utterance, their intentions, their actions, and what they manage to communicate? These are some of the questions that pragmatics tries to answer; the sort of questions that, roughly speaking, serve to characterize the field of pragmatics.","Study of language use in context. Topics: Implicature (Grice)a what is meant vs. said; Speech Acts (Austin/Searle)a doing things with words (promising, apologizing); Presupposition; and Deixis. It bridges semantics (meaning) and social interaction.",/entries/pragmatics/,Pragmatics,https://plato.stanford.edu/archives/win2021/entries/pragmatics/,title_exact_strict,
,,Assertion,,,,,,"Asserting is the act of claiming that something is the case-for instance, that oranges are citruses, or that there is a traffic congestion on Brooklyn Bridge (at some time). We make assertions to share information, coordinate our actions, defend arguments, and communicate our beliefs and desires. Because of its central role in communication, assertion has been investigated in several disciplines. Linguists, philosophers of language, and logicians rely heavily on the notion of assertion in theorizing about meaning, truth and inference. The nature of assertion and its relation to other speech acts and linguistic phenomena (implicatures, presuppositions, etc.) have been subject to much controversy. This entry will situate assertion within speech act theory and pragmatics more generally, and then go on to present the current main accounts of assertion.[1] By an account of assertion is here meant a theory of what a speaker does (e.g., expresses a belief) in making an assertion. According to such accounts, there are deep properties of assertion: specifying those properties is specifying what asserting consists in. There must also be surface properties, which are the properties by which a competent speaker can tell whether an utterance is an assertion, for instance that it is made by means of uttering a sentence in the indicative mood. We shall classify accounts according two parameters. Firstly, we distinguish between normative and descriptive accounts. Normative accounts rely on the existence of norms or normative relations that are essential to assertoric practice. Descriptive accounts don't. Secondly, we distinguish between content-directed and hearer-directed accounts. Content-directed accounts focus on the relation between the speaker and the content of the proposition asserted, while hearer-directed accounts focus on the relations between speaker and hearer. Some theories have both normative and descriptive components. The entry is structured as follows","The speech act of claiming that something is the case, central to communication and knowledge sharing. Assertions commit speakers to the truth of their utterances and are governed by distinctive norms. Philosophers debate what distinguishes assertion from other speech acts and what constitutes the norm of assertion (truth, justification, or knowledge).",/entries/assertion/,Assertion,https://plato.stanford.edu/archives/win2021/entries/assertion/,title_exact_strict,
,,,Moore's Paradox,,,,,,,,,,,
,,,Conditional Assertion *,,,,,,,,,,,
,,,Norms of Assertion,,,,,,,,,,,
,,Context and Context-Dependence,,,,,,,,,,,,
,,,Context and Logical Form,,,,,,,,,,,
,,,Character and Content *,,,,,,,,,,,
,,,Epistemic Contextualism *,,,,,,,,,,,
,,,Semantic Contextualism,,,,,,,,,,,
,,,Semantic Minimalism,,,,,,,,,,,
,,,The Nature of Context,,,,,,,,,,,
,,,The Scope of Context-Dependence,,,,,,,,,,,
,,,Contextual Theories of Vagueness *,,,,,,,,,,,
,,,Hidden-Indexical Theories of Attitude Ascriptions *,,,,,,,,,,,
,,,Predicates and Context-Dependence *,,,,,,,,,,,
,,Discourse,,,,,,,,,,,,
,,,Dialogue,,,,,,,,,,,
,,,Discourse Coherence,,,,,,,,,,,
,,,Discourse Representation,,,,,,,,,,,
,,,Conversational norms,,,"Rule-governed expectations (about relevance, propriety, presupposition, and uptake) that structure how utterances are interpreted in context. In pragmatic theory, these norms help determine when an utterance is treated as appropriate, insulting, joking, quoted, or otherwise ""licensed"" in a given conversational setting.",,,,,,,,
,,Implicature,,,,"Denotes either (i) the act of meaning or implying one thing by saying something else, or (ii) the object of that act. (i.e., Metaphor, Irony; damning with faint praise). What a speaker meant in addition to or instead of what was literally said",,"""Implicature"" denotes either (i) the act of meaning or implying one thing by saying something else, or (ii) the object of that act. Implicatures can be determined by sentence meaning or by conversational context, and can be conventional (in different senses) or unconventional. Figures of speech such as metaphor and irony provide familiar examples, as do loose use and damning with faint praise. Implicature serves a variety of goals: communication, maintaining good social relations, misleading without lying, style, and verbal efficiency. Knowledge of common forms of implicature is acquired along with one's native language. Conversational implicatures have become one of the principal subjects of pragmatics. An important conceptual and methodological issue in semantics is how to distinguish senses and entailments from generalized conversational implicatures. A related issue is the degree to which sentence meaning determines what is said. Historical linguistics traces the evolution of conversational implicatures into idioms. H. P. Grice developed an influential theory to explain and predict conversational implicatures, and describe how they arise and are understood. The Cooperative Principle and associated maxims play a central role. Neo-Gricean theories modify Grice's principles to some extent, and Relevance theories replace them with a principle of communicative efficiency. Problems for such principle-based theories include overgeneration, lack of determinacy, clashes, and the fact that speakers often have other goals. An alternative approach emphasizes that implicatures can be explained and predicted in all the ways intentions and conventions can be.","Grice's concept of meaning conveyed beyond literal semantic content through conversational principles. Conventional implicature is encoded linguistically; conversational implicature derives from cooperative principle and maxims (quality, quantity, relation, manner). Implicature explains how 'some' often means 'not all,' metaphor, irony, and indirect speech acts.",/entries/implicature/,Implicature,https://plato.stanford.edu/archives/win2021/entries/implicature/,title_exact_strict,
,,,Conventional Implicature *,,,"What someone implicates is not given to us directly. We have to infer it from evidence. An implicature: can be characterized as an inference (""something inferred""), but implicating is not itself inferring. To implicate something is to express a belief in a particular way. To infer something is to acquire or possess a belief in a particular way. Hearers have to infer what speakers implicate. But implicatures do not result from inferences. Furthermore, the fact that implicatures are inferred is not what makes implicating an indirect speech act. Implicature is indirect because to implicate something is to mean it by saying something else.",,,,,,,,
,,,Conversational Implicature,,,"They depend on features of the conversational context, and are not determined by the conventional meaning of the sentences uttered. Historical linguistics traces the evolution of conversational implicatures into idioms.",,,,,,,,
,,,,Figures of speech (tropes),,"Irony, overstatement (hyperbole), un.derstatement (meiosis and litotes), metaphor",,,,,,,,
,,Linguistic Communication,,,,,,,,,,,,
,,Linguistic Focus,,,,,,,,,,,,
,,Linguistic Force,,,,,,,,,,,,
,,Metaphor,,,,,,"Metaphor is a poetically or rhetorically ambitious use of words, a figurative as opposed to literal use. It has attracted more philosophical interest and provoked more philosophical controversy than any of the other traditionally recognized figures of speech.","Philosophical theories of metaphor. Views: Cognitive theories (Black) argue metaphors convey cognitive content or restructure understanding. Non-cognitive theories (Davidson) argue metaphors have no special meaning but cause distinct effects. Questions concern truth-conditions, paraphrase, and metaphor's role in science and philosophy.",/entries/metaphor/,Metaphor,https://plato.stanford.edu/archives/win2021/entries/metaphor/,title_exact_strict,
,,Presupposition,,,,,,"We discuss presupposition, the phenomenon whereby speakers mark linguistically information as being taken for granted, rather than being part of the main propositional content of a speech act. Expressions and constructions carrying presuppositions are called ""presupposition triggers"", forming a large class including definites and factive verbs. The article first introduces a sample of triggers, the basic properties of presuppositions such as projection and cancellability, and the diagnostic tests used to identify them. The reader is then introduced to major models of presupposition from the last 50 years, separated into three classes: Frege-Strawson derived semantic models, pragmatic models such as that offered by Stalnaker, and dynamic models. Finally we discuss some of the main current issues in presupposition theory. These involve accommodation, which occurs when a hearer's knowledge state is adjusted to meet the speaker's presuppositions; presupposition failure, which occurs when a presupposition is (known to be) false; the interaction between presuppositions and attitudes; and variability in the behavior of triggers and their presuppositions.","Linguistic phenomenon where a statement assumes the truth of another. 'The King of France is bald' presupposes there is a King. If the presupposition fails, is the statement false (Russell) or truth-valueless (Strawson)? Crucial for semantics and pragmatics.",/entries/presupposition/,Presupposition,https://plato.stanford.edu/archives/win2021/entries/presupposition/,title_exact_strict,
,,Relevance Theory,,,,,,,,,,,,
,,Semantics-Pragmatics Distinction,,,,,,,,,,,,
,,Speech Acts,,,,"Speech act theory studies what speakers do with words (e.g., asserting, promising, warning), not just what expressions mean. It distinguishes what is said, what act is done in saying it, and what effects are produced by saying it.",,"We are attuned in everyday conversation not primarily to the sentences we utter to one another, but to the speech acts that those utterances are used to perform: requests, warnings, invitations, promises, apologies, predictions, and the like. Such acts are staples of communicative life, but only became a topic of sustained investigation, at least in the English-speaking world, in the middle of the twentieth century.[1] Since that time ""speech act theory"" has become influential not only within philosophy, but also in linguistics, psychology, legal theory, artificial intelligence, literary theory, and feminist thought among other scholarly disciplines.[2] Recognition of the significance of speech acts has illuminated the ability of language to do other things than describe reality. In the process the boundaries among the philosophy of language, the philosophy of action, aesthetics, the philosophy of mind, political philosophy, and ethics have become less sharp. In addition, an appreciation of speech acts has helped lay bare a normative structure implicit in linguistic practice, including even that part of this practice concerned with describing reality. Much recent research aims at an accurate characterization of this normative structure underlying linguistic practice.","Austin/Searle. Language as action. Locution (saying), Illocution (doing: promising, command), Perlocution (effect: persuading). Performative utterances ('I do'). Validity conditions (Felicity conditions). Fundamental to pragmatics.",/entries/speech-acts/,Speech Acts,https://plato.stanford.edu/archives/win2021/entries/speech-acts/,title_exact_strict,
,,,Core of Speech Act Theory,,,,,,,,,,,
,,,,Locutionary act,,"Producing a meaningful utterance. Saying certain words with a determinate sense and reference. It is the ""saying"" component that can be separated from what one thereby does (e.g., warn) and what one thereby causes (e.g., frighten)",,,,,,,,
,,,,Illocutionary acts/force,,"What one does in saying something (asserting, promising, ordering, apologizing), characterized by its illocutionary force. ""Force"" marks the act-type or mode (assertion vs request vs promise) rather than the propositional content expressed.",,,,,,,,
,,,,,Slurs as Speech Acts,"Treats slurs as acts that can derogate or subordinate. Their status depends on illocutionary force and uptake, not only on descriptive content. Treating slurs as speech acts emphasizes that derogation can be performed by the act of uttering a term in context, not merely by the proposition expressed. This approach integrates semantic/pragmatic properties of slurs with their illocutionary force and their role in enacting social hierarchy or contempt.","slurs are treated not merely as carriers of derogatory content but as performing an illocutionary act (e.g., insulting, subordinating, excluding, or licensing discriminatory uptake in context). The emphasis is on what the utterance does socially (its force and normative significance), beyond what it semantically encodes",,,,,,,
,,,,Perlocutionary effects,,"The changes an utterance brings about in an audience (i.e., convincing, alarming, encouraging, or silencing) whether or not the speaker explicitly labels that as what they were doing. They are outcomes of speaking, distinct from the illocutionary act performed.",,,,,,,,
,,,,,Persuasion,"An utterance succeeds (or aims to succeed) in changing beliefs, attitudes, or intentions. This as an effect produced by speaking, not as the illocutionary force itself (asserting, warning, insulting, etc.).",,,,,,,,
,,,,,Intimidation,"An utterance produces fear, compliance, or self-silencing in an audience. This is an outcome that may be sought intentionally (e.g., via threats) and may occur even when the illocutionary act is described differently by the speaker.",,,,,,,,
,,,Types of Speech Acts,,,"Illocutionary kinds that philosophers analyze for their conditions of success, characteristic norms, and typical social functions.",,,,,,,,
,,,,Apologies *,,"An expressive illocution: speaker acknowledges a wrong (or offense) and expresses regret in a way that can repair standing or relationships. Success depends on appropriateness conditions (e.g., responsibility, sincerity, uptake).",,,,,,,,
,,,,Lying *,,Lying is commonly characterized as asserting something one believes to be false with the intention to deceive a hearer (or otherwise mislead) about the matter asserted. It is often contrasted with merely conveying falsehoods without deceptive intent.,,,,,,,,
,,,,Assertion *,,"Illocutionary act of presenting a proposition as true (or as to-be-accepted) and thereby placing it into the space of reasons, commitments, and challenges. Contemporary work focuses on its norms (e.g., whether knowledge or justified belief is required) and its role in communication",,,,,,,,
,,,,Promises *,,"Illocutionary act that undertakes an obligation (or commitment) to perform a future action, thereby altering normative relations between speaker and addressee. Its analysis emphasizes conditions like authority/standing, intention, and uptake.",,,,,,,,
,,,,Performatives,,"Utterances (often in explicit 1st-person present form, like ""I promise."") perform the act they name when said under appropriate conditions. Success is modeled via felicity conditions rather than truth conditions.",,,,,,,,
,Specific Expressions,,,,,,,,,,,,,
,,Adverbs,,,,,,,,,,,,
,,Attitude Ascriptions,,,,,,,,,,,,
,,,De Re Belief *,,,,,,,,,,,
,,,Desire Ascriptions,,,,,,,,,,,
,,,Fregean Theories of Attitude Ascriptions,,,,,,,,,,,
,,,Perceptual Reports *,,,,,,,,,,,
,,,Russellian Theories of Attitude Ascriptions,,,,,,,,,,,
,,,Frege's Puzzle *,,,,,,,,,,,
,,,Hidden-Indexical Theories of Attitude Ascriptions,,,,,,,,,,,
,,,Substitutivity in Attitude Ascriptions,,,,,,,,,,,
,,,Kripke's Puzzle About Belief,,,,,,,,,,,
,,,Speech Reports *,,,,,,,,,,,
,,Conditionals,,,,,,,"Statements of the form 'if A, then C' where A is the antecedent and C the consequent. Philosophical questions concern their truth conditions, whether they assert material implication or something stronger, and how to analyze counterfactual and subjunctive conditionals. Different logics model conditionals using possible worlds, probabilities, or other frameworks.",,,,,
,,,Truth-Conditional Accounts of Indicative Conditionals,,,,,,,,,,,
,,,Epistemic Accounts of Indicative Conditionals,,,,,,,,,,,
,,,Pragmatic Accounts of Indicative Conditionals,,,,,,,,,,,
,,,Indicative Conditionals and Conditional Probabilities,,,,,,,,,,,
,,,Possible-World Theories of Counterfactuals,,,,,,,,,,,
,,,Logic of Conditionals,,,,,"This article provides a survey of classic and recent work in conditional logic. We review the problems of a two-valued analysis and examine logics based on richer semantic frameworks that have been proposed to deal with conditional sentences of the form ""if A, B,"" including trivalent semantics, possible-world semantics, premise semantics, and probabilistic semantics. We go on to examine theories of conditionals involving belief revision, and highlight recent approaches based on the idea that a conditional is assertable provided the truth of its antecedent makes a difference to that of its consequent. We close with a brief discussion of systems accounting for the interaction of conditionals with modalities and speech act operators.","Formal logical systems analyzing conditional statements 'if A, then B' beyond material implication. Approaches include modal logic, relevance logic, trivalent semantics, and probability-based frameworks. Challenges include the paradoxes of material implication, embedded conditionals, and capturing natural language conditional reasoning.",/entries/logic-conditionals/,The Logic of Conditionals,https://plato.stanford.edu/archives/win2021/entries/logic-conditionals/,title_exact_loose,
,,,Causal Theories of Counterfactuals,,,,,,,,,,,
,,,Counterpossible Conditionals,,,,,,,,,,,
,,,Indicative vs Subjunctive Conditionals,,,,,,,,,,,
,,,Conditional Assertion,,,,,,,,,,,
,,Connectives,,,,,,,,,,,,
,,,Conditionals *,,,,,,,,,,,
,,,Conjunction,,,,,,,,,,,
,,,Disjunction,,,,,"In logic, disjunction is a binary connective (vv\vee) classically interpreted as a truth function the output of which is true if at least one of the input sentences (disjuncts) is true, and false otherwise. Its supposed connection with disjunctive words of natural language like or has long intrigued philosophers, logicians and linguists. In this entry we give an overview of logical and linguistic analyses of disjunction with focus on developments at the interface between logic and language. Sections 1 and 2 present disjunction as a binary connective in classical logic and in a number of non-classical interpretations. Section 3 discusses some basic facts concerning disjunctive words in natural language, and introduces a generalized, cross-categorial notion of disjunction as the join operator in a (Boolean) algebra. Section 4 and 5 present Grice's account of the use of or in conversation and recent developments in the discussion on inclusive and exclusive uses of linguistic disjunctive words. Finally, sections 6 and 7 introduce two recent non-classical accounts of linguistic disjunction and discuss applications to phenomena of free choice, disjunctive questions and counterfactuals with disjunctive antecedents.","The logical connective 'or' and its natural language counterparts. Classical logic treats disjunction truth-functionally: 'A or B' is true if at least one disjunct is true. Debates concern exclusive versus inclusive disjunction, free choice inferences, and whether disjunction in natural language follows classical logic.",/entries/disjunction/,Disjunction,https://plato.stanford.edu/archives/win2021/entries/disjunction/,title_exact_strict,
,,,Logical Connectives *,,,,,,,,,,,
,,,Negation,,,,,"Negation is in the first place a phenomenon of semantic opposition. As such, negation relates an expression eee to another expression with a meaning that is in some way opposed to the meaning of eee. This relation may be realized syntactically and pragmatically in various ways. Moreover, there are different kinds of semantic opposition. Section 1 is concerned mainly with negation and opposition in natural language, both from a historical and a systematic perspective. Section 2 focuses on negation as a unary connective from the point of view of philosophical logic. The history of negation is comprehensively studied and surveyed in Horn 1989 and Speranza and Horn 2012.","Logical and semantic nature of 'not'. Classical negation flips truth values. Intuitionist negation implies contradiction. Paraconsistent negation allows contradictions. Philosophical questions concern emptiness, negative facts (Russell), and whether negation is a speech act (denial) or operator.",/entries/negation/,Negation,https://plato.stanford.edu/archives/win2021/entries/negation/,title_exact_strict,
,,Descriptions,,,,,,"Russell (1919), writing in prison, made the following now famous declaration of the importance of definite descriptions, and in particular the definite determiner 'the': . in this chapter we shall consider the word the in the singular, and in the next chapter we shall consider the word the in the plural. It may be thought excessive to devote two chapters to one word, but to the philosophical mathematician it is a word of very great importance: like Browning's grammarian with the enclitic , I would give the doctrine of this word if I were ""dead from the waist down"" and not merely in prison. Russell has not been alone in thinking that descriptions and definite determiners are important. The discussion of definite and indefinite descriptions (in English, phrases of the form 'the F' and 'an F') has been at the center of analytic philosophy for over a century now. The reason that philosophers find these apparently simple expressions so intriguing is that choices made about their proper logical analysis have repercussions that extend far beyond the philosophy of language and philosophy of logic. In Bertrand Russell's hands, for example, the analysis of descriptions became a powerful tool for executing important epistemological and metaphysical projects. Despite the surface simplicity of determiners and of definite and indefinite descriptions, the past 100+ years have seen heated debates about their proper analysis. Some philosophers and linguists treat descriptions as referential expressions, others have treated them as quantificational expressions, and some have treated them as predicational expressions. Other analyses of descriptions have held that the determiners 'the' and 'a' do not make a semantical contribution, but rather a pragmatic contribution to what is communicated. Some recent work in linguistics has even called into question the idea that definite and indefinite determiners correspond to logical elements in the analysis of the logical form of natural language. Indeed, there is some reason to think that they are merely grammatical elements for assigning case. As we will see, none of this undermines the idea that some expressions of natural language are referential and others quantificational, or that the analysis of these questions isn't relevant to Russell's epistemological and metaphysical projects, but it is to suggest that the role of the English words 'the' and 'a' (and their counterparts in other languages) may be less clear than philosophers in the one hundred years since Russell have imagined.","Phrases like 'the present king of France' picking out objects uniquely satisfying a description. Russell's theory analyzes them as quantified statements, not referring expressions. Debates concern whether descriptions are quantifiers or referential, ambiguity between attributive and referential uses, and presupposition versus assertion.",/entries/descriptions/,Descriptions,https://plato.stanford.edu/archives/win2021/entries/descriptions/,title_exact_strict,
,,,Attributive and Referential Uses of Descriptions,,,,,,,,,,,
,,,Descriptions as Predicates,,,,,,,,,,,
,,,Descriptive Theories of Reference *,,,,,,,,,,,
,,,Descriptive Theories of Names *,,,,,,,,,,,
,,,Incompleteness of Descriptions,,,,,,,,,,,
,,,Indefinite Descriptions,,,,,,,,,,,
,,,Presuppositional Account of Descriptions,,,,,,,,,,,
,,,Russell's Theory of Descriptions,,,,,,,,,,,
,,Determiners,,,,,,,,,,,,
,,,Complex Demonstratives *,,,,,,,,,,,
,,,Numerical Expressions,,,,,,,,,,,
,,,Possessives,,,,,,,,,,,
,,,Quantifiers *,,,,,,,,,,,
,,Indexicals and Demonstratives,,,,,,,,,,,,
,,,Demonstrative Theories of Names *,,,,,,,,,,,
,,,Direct Reference Theories of Indexicals,,,,,,,,,,,
,,,The First-Person Pronoun,,,,,,,,,,,
,,Modal Expressions,,,,,,,,,,,,
,,,Possible-World Theories of Counterfactuals *,,,,,,,,,,,
,,,Deontic Modals,,,,,,,,,,,
,,,Epistemic Modals,,,,,,,,,,,
,,Names,,,,,,"Proper names are familiar expressions of natural language, whose semantics remains a contested subject. Do names have meanings, or do they simply refer to particular things without that reference being mediated by a meaning?",Semantics of proper names. Millianism: names directly refer without sense. Descriptivism (Frege/Russell): names are disguised descriptions. Teleological/Causal theories (Kripke): reference is fixed by baptism and causal chains. Problems include empty names and identity statements (Hesperus is Phosphorus).,/entries/names/,Names,https://plato.stanford.edu/archives/win2021/entries/names/,title_exact_strict,
,,,Frege's Puzzle *,,,,,,,,,,,
,,,Kripke's Puzzle About Belief *,,,,,,,,,,,
,,,Rigid Designation *,,,,,,,,,,,
,,Nouns,,,,,,,,,,,,
,,,Names *,,,,,,,,,,,
,,,Slurs,,,,,,,,,,,
,,Predicates,Predicates and Context-Dependence,,,,,,,,,,,
,,Quantifiers,Variables *,,,,,,,,,,,
,,Verbs,Attitude Ascriptions *,,,,,,,,,,,
,,,Intensional Transitive Verbs,,,,,"A verb is transitive iff it usually occurs with a direct object, and in such occurrences it is said to occur transitively. Thus 'ate' occurs transitively in 'I ate the meat and left the vegetables', but not in 'I ate then left' (perhaps it is not the same verb 'left' in these two examples, but it seems to be the same 'ate'). A verb is intensional if the verb phrase (VP) it forms with its complement is anomalous in at least one of three ways: (i) substituting one expression for another that is coreferential with it in the complement of the verb can change the truth-value of the sentence in which the VP occurs - for instance, you might admire Mark Twain but not Samuel Clemens, not realizing that your pesky neighbor Sam is the famous writer (in this case substitution of the coreferential 'Samuel Clemens' for 'Mark Twain' in the VP 'admire Mark Twain' will turn a true sentence, 'you admire Mark Twain' into a false one, 'you admire Samuel Clemens'); (ii) the VP admits of a special ""unspecific"" reading if it contains a quantifier, or a certain type of quantifier (Quine's example (1956:185) is famous: he observes that if we paraphrase 'I want a sloop' as 'there is a (specific) sloop such that I want it', this will give the wrong idea if all I want is 'mere relief from slooplessness', a sloop but no specific one; for more examples, see section 1); and (iii) the normal existential commitments of names and existential quantifiers in the complement are suspended even when the embedding sentence is negation-free (again, see section 1). Intensional phenomena are puzzling, and worth studying, because (a) it seems that the only way to account for language-speakers' capacities to produce and understand sentences of their native languages which they have never encountered before is to posit compositional structure in language and an interpretive capacity in speakers that exploits it. But (b) the simplest ideas about what such structure is like cannot accommodate intensionality. So we want to know what the smallest complication is which allows for the intensional. Investigation of intensional verbs has focussed mainly on verbs used to make propositional attitude reports. These verbs take clauses rather than direct objects as their complements. However, as we will see below, intensional transitive verbs (henceforth ITVs) do not merely duplicate the problems raised by propositional attitude verbs, but introduce special difficulties of their own.",,/entries/intensional-trans-verbs/,Intensional Transitive Verbs,https://plato.stanford.edu/archives/win2021/entries/intensional-trans-verbs/,title_exact_strict,
,,,"States, Activities, Accomplishments, Achievements *",,,,,,,,,,,
,,Speech Reports,,,,,,,,,,,,
,Syntax,,,,,,,,,,,,,
,,Syntactic Phenomena,,,,,,,,,,,,
,,Syntactic Theories,,,,,,,,,,,,
,,Linguistic Innateness,,,,,,,,,,,,
